DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
0,0,VIX30D,21,GK,3,5.84,13.29,23.63,1.36,0.44,-0.28,-1.93,267
0,0,VIX30D,21,GK,5,1.72,12.23,24.37,1.36,0.14,-0.12,-1.74,218
0,0,VIX30D,21,GK,10,-0.58,11.61,27.16,1.36,-0.05,0.0,-0.09,177
0,0,VIX30D,21,GK,21,-1.31,10.61,23.25,1.36,-0.12,0.0,-0.08,150
0,0,VIX30D,21,GK,63,1.35,10.63,22.69,1.36,0.13,-0.02,-1.26,169
0,0,VIX30D,21,HV,3,10.97,17.05,24.57,1.36,0.64,-1.25,-3.09,389
0,0,VIX30D,21,HV,5,-1.34,12.51,26.06,1.91,-0.11,-0.4,-2.12,229
0,0,VIX30D,21,HV,10,-2.8,9.86,27.97,1.86,-0.28,0.0,-0.07,133
0,0,VIX30D,21,HV,21,-1.22,7.32,18.71,1.36,-0.17,0.0,-0.04,91
0,0,VIX30D,21,HV,63,-2.11,6.61,17.35,1.36,-0.32,0.0,-0.04,83
0,0,VIX30D,21,YZ,3,-2.4,9.29,23.7,1.36,-0.26,0.0,-0.05,79
0,0,VIX30D,21,YZ,5,-3.34,9.31,23.93,1.36,-0.36,0.0,-0.06,77
0,0,VIX30D,21,YZ,10,-3.53,9.66,25.51,1.96,-0.37,0.0,-0.06,88
0,0,VIX30D,21,YZ,21,-1.34,8.01,17.81,1.36,-0.17,0.0,-0.05,93
0,0,VIX30D,21,YZ,63,-1.63,7.8,18.48,1.36,-0.21,0.0,-0.05,103
0,0,VIX30D,42,GK,3,7.15,13.26,22.13,1.36,0.54,-0.25,-1.99,277
0,0,VIX30D,42,GK,5,1.67,12.77,24.06,1.36,0.13,-0.13,-1.9,240
0,0,VIX30D,42,GK,10,-1.53,12.37,27.59,1.75,-0.12,-0.1,-1.85,196
0,0,VIX30D,42,GK,21,-1.57,11.28,23.41,1.62,-0.14,-0.05,-1.6,180
0,0,VIX30D,42,GK,63,0.23,10.48,23.14,1.36,0.02,-0.04,-1.27,173
0,0,VIX30D,42,HV,3,7.99,17.33,23.46,1.36,0.46,-1.26,-3.22,404
0,0,VIX30D,42,HV,5,-1.13,13.15,25.47,1.87,-0.09,-0.44,-2.28,243
0,0,VIX30D,42,HV,10,-3.53,10.43,28.86,1.86,-0.34,0.0,-0.08,148
0,0,VIX30D,42,HV,21,-1.9,7.87,19.79,2.13,-0.24,0.0,-0.05,106
0,0,VIX30D,42,HV,63,-2.92,6.91,17.64,1.36,-0.42,0.0,-0.04,86
0,0,VIX30D,42,YZ,3,-2.14,9.71,23.07,1.99,-0.22,0.0,-0.06,85
0,0,VIX30D,42,YZ,5,-3.88,9.76,24.03,1.99,-0.4,0.0,-0.06,80
0,0,VIX30D,42,YZ,10,-4.08,9.97,26.08,2.86,-0.41,0.0,-0.07,99
0,0,VIX30D,42,YZ,21,-2.23,8.64,18.87,1.36,-0.26,0.0,-0.06,111
0,0,VIX30D,42,YZ,63,-2.14,7.9,18.77,1.36,-0.27,0.0,-0.05,103
0,0,VIX30D,63,GK,3,7.29,13.86,19.91,0.68,0.53,-0.3,-2.08,284
0,0,VIX30D,63,GK,5,2.03,13.22,22.53,1.36,0.15,-0.18,-2.0,245
0,0,VIX30D,63,GK,10,-0.67,12.7,26.18,1.36,-0.05,-0.16,-1.93,206
0,0,VIX30D,63,GK,21,-1.31,11.98,21.83,2.13,-0.11,-0.09,-1.76,191
0,0,VIX30D,63,GK,63,0.5,10.65,21.11,1.36,0.05,-0.04,-1.3,174
0,0,VIX30D,63,HV,3,8.09,18.06,21.09,1.36,0.45,-1.44,-3.36,410
0,0,VIX30D,63,HV,5,0.1,13.49,24.02,1.86,0.01,-0.51,-2.32,254
0,0,VIX30D,63,HV,10,-3.25,10.97,28.29,1.7,-0.3,-0.02,-1.59,152
0,0,VIX30D,63,HV,21,-1.9,8.74,20.19,2.13,-0.22,0.0,-0.06,114
0,0,VIX30D,63,HV,63,-2.92,7.71,17.77,1.36,-0.38,0.0,-0.04,89
0,0,VIX30D,63,YZ,3,-2.15,10.21,22.89,1.36,-0.21,0.0,-0.06,91
0,0,VIX30D,63,YZ,5,-3.65,10.34,23.99,1.99,-0.35,0.0,-0.07,90
0,0,VIX30D,63,YZ,10,-4.07,10.47,25.17,2.86,-0.39,0.0,-0.07,104
0,0,VIX30D,63,YZ,21,-2.35,9.36,19.68,1.36,-0.25,0.0,-0.06,117
0,0,VIX30D,63,YZ,63,-1.99,8.5,17.99,1.36,-0.23,0.0,-0.05,107
0,0,VIX30D,84,GK,3,7.15,14.02,21.47,1.36,0.51,-0.34,-2.16,278
0,0,VIX30D,84,GK,5,2.44,13.35,23.82,1.36,0.18,-0.25,-2.06,242
0,0,VIX30D,84,GK,10,-0.73,12.88,27.63,1.36,-0.06,-0.22,-2.02,203
0,0,VIX30D,84,GK,21,-1.45,12.3,23.61,1.36,-0.12,-0.11,-1.87,193
0,0,VIX30D,84,GK,63,0.25,11.01,22.33,1.36,0.02,-0.05,-1.4,175
0,0,VIX30D,84,HV,3,4.7,18.55,22.85,1.38,0.25,-1.42,-3.49,416
0,0,VIX30D,84,HV,5,-0.57,13.9,25.04,2.11,-0.04,-0.64,-2.42,251
0,0,VIX30D,84,HV,10,-3.41,11.54,28.81,1.71,-0.3,-0.1,-1.72,157
0,0,VIX30D,84,HV,21,-2.06,9.37,21.59,1.36,-0.22,0.0,-0.06,112
0,0,VIX30D,84,HV,63,-3.52,8.3,19.66,1.36,-0.42,0.0,-0.05,88
0,0,VIX30D,84,YZ,3,-2.51,10.45,24.34,1.36,-0.24,0.0,-0.07,92
0,0,VIX30D,84,YZ,5,-3.92,10.71,25.26,1.36,-0.37,0.0,-0.07,90
