DTE,OTM,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
0,0,GK,3,21.41,24.62,24.59,0.65,0.87,-0.9,-3.83,312
0,0,GK,5,16.81,24.6,24.14,1.15,0.68,-0.81,-3.83,276
0,0,GK,10,11.17,26.57,30.29,1.17,0.42,-0.91,-4.17,256
0,0,GK,21,19.08,27.71,26.51,0.66,0.69,-1.18,-4.28,244
0,0,GK,63,23.99,30.85,34.02,0.96,0.78,-0.99,-4.53,234
0,0,HV,3,9.65,34.63,49.54,2.7,0.28,-3.43,-6.42,443
0,0,HV,5,1.82,25.48,39.57,2.97,0.07,-1.21,-4.56,282
0,0,HV,10,3.47,21.9,30.51,2.1,0.16,-0.67,-3.31,189
0,0,HV,21,12.96,20.1,26.4,1.07,0.64,0.0,-0.13,139
0,0,HV,63,14.64,22.19,25.85,1.25,0.66,0.0,-0.13,128
0,0,YZ,3,-0.48,17.07,27.99,1.36,-0.03,0.0,-0.11,98
0,0,YZ,5,0.86,17.67,27.02,1.36,0.05,0.0,-0.11,107
0,0,YZ,10,5.75,19.25,28.91,1.29,0.3,0.0,-0.13,123
0,0,YZ,21,16.27,20.3,24.93,1.09,0.8,-0.01,-2.37,149
0,0,YZ,63,18.41,23.91,24.19,1.07,0.77,-0.02,-2.89,156
0,2,GK,3,14.87,14.45,17.13,1.35,1.03,0.0,-0.18,689
0,2,GK,5,13.05,16.28,16.07,0.87,0.8,0.0,-0.19,678
0,2,GK,10,16.09,17.48,17.8,0.7,0.92,0.0,-0.18,638
0,2,GK,21,23.17,20.31,17.86,0.49,1.14,0.0,-0.18,597
0,2,GK,63,35.83,21.4,17.83,0.52,1.67**,0.0,-0.14,493
0,2,HV,3,19.2,15.59,15.42,0.88,1.23,0.0,-0.2,684
0,2,HV,5,5.53,13.22,14.75,1.56,0.42,0.0,-0.13,534
0,2,HV,10,-0.26,13.99,23.51,4.27,-0.02,0.0,-0.11,407
0,2,HV,21,7.94,13.06,13.85,1.29,0.61,0.0,-0.07,330
0,2,HV,63,18.56,16.28,14.55,1.29,1.14,0.0,-0.06,219
0,2,YZ,3,2.5,8.12,13.93,1.29,0.31,0.0,-0.02,248
0,2,YZ,5,3.71,9.5,13.86,1.29,0.39,0.0,-0.04,298
0,2,YZ,10,5.68,10.69,13.8,1.29,0.53,0.0,-0.05,337
0,2,YZ,21,13.38,14.06,13.86,1.29,0.95,0.0,-0.06,324
0,2,YZ,63,23.4,19.18,16.83,1.29,1.22*,0.0,-0.08,269
0,5,GK,3,17.14,6.64,0.52,0.13,2.58***,0.0,-0.01,1005
0,5,GK,5,19.3,8.49,0.28,0.13,2.27***,0.0,0.0,1018
0,5,GK,10,22.65,10.49,0.21,0.02,2.16***,0.0,0.0,1022
0,5,GK,21,27.78,12.3,0.25,0.02,2.26***,0.0,0.0,1019
0,5,GK,63,32.47,13.29,0.07,0.01,2.44***,0.0,0.0,1037
0,5,HV,3,14.21,5.47,0.25,0.05,2.6***,0.0,0.0,954
0,5,HV,5,9.11,3.15,0.08,0.05,2.89***,0.0,0.0,906
0,5,HV,10,8.52,3.3,0.1,0.21,2.58***,0.0,0.0,860
0,5,HV,21,11.46,4.74,0.07,0.02,2.42***,0.0,0.0,828
0,5,HV,63,22.96,11.52,0.07,0.01,1.99***,0.0,0.0,764
0,5,YZ,3,5.33,2.69,0.14,0.34,1.98***,0.0,0.0,773
0,5,YZ,5,6.65,3.06,0.2,0.34,2.18***,0.0,0.0,823
0,5,YZ,10,9.19,3.78,0.1,0.02,2.43***,0.0,0.0,856
0,5,YZ,21,16.16,7.72,0.2,0.02,2.09***,0.0,0.0,862
0,5,YZ,63,26.47,12.49,0.07,0.01,2.12***,0.0,0.0,861
0,10,GK,3,7.99,3.17,0.01,0.01,2.52***,0.01,0.0,1101
0,10,GK,5,8.88,4.11,0.01,0.01,2.16***,0.01,0.0,1101
0,10,GK,10,10.16,5.16,0.01,0.01,1.97***,0.01,0.01,1100
0,10,GK,21,11.12,5.6,0.01,0.01,1.98***,0.01,0.0,1096
0,10,GK,63,11.8,5.68,0.01,0.01,2.08***,0.01,0.0,1094
0,10,HV,3,6.05,1.62,0.01,0.01,3.74***,0.0,0.0,1075
0,10,HV,5,5.36,1.35,0.01,0.01,3.97***,0.0,0.0,1065
0,10,HV,10,5.4,1.41,0.01,0.01,3.84***,0.0,0.0,1068
0,10,HV,21,6.42,1.94,0.01,0.01,3.31***,0.0,0.0,1084
