DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
0,0,VIX30D,21,GK,3,9.45,9.1,6.24,0.32,1.04,-0.14,-1.35,59
0,0,VIX30D,21,GK,5,4.17,8.79,6.43,0.31,0.47,-0.16,-1.38,54
0,0,VIX30D,21,GK,10,0.05,8.57,6.5,0.36,0.01,-0.18,-1.41,50
0,0,VIX30D,21,GK,21,-2.26,8.13,6.57,0.37,-0.28,-0.11,-1.34,46
0,0,VIX30D,21,GK,63,-3.05,7.48,5.07,0.73,-0.41,-0.07,-1.18,41
0,0,VIX30D,21,HV,3,5.53,10.08,10.18,0.29,0.55,-0.6,-1.75,74
0,0,VIX30D,21,HV,5,4.14,8.87,7.13,0.36,0.47,-0.4,-1.47,56
0,0,VIX30D,21,HV,10,0.26,7.52,5.83,0.37,0.03,-0.09,-1.28,48
0,0,VIX30D,21,HV,21,-4.38,7.22,5.82,0.73,-0.61,-0.03,-1.25,39
0,0,VIX30D,21,HV,63,-6.68,6.84,8.02,0.92,-0.98,-0.01,-1.07,27
0,0,VIX30D,21,YZ,3,-5.83,6.93,6.6,0.92,-0.84,-0.04,-1.12,29
0,0,VIX30D,21,YZ,5,-5.96,7.42,7.28,0.92,-0.8,-0.01,-1.2,31
0,0,VIX30D,21,YZ,10,-6.64,7.63,7.6,0.92,-0.87,-0.07,-1.31,33
0,0,VIX30D,21,YZ,21,-5.65,7.42,7.56,0.92,-0.76,-0.05,-1.21,32
0,0,VIX30D,21,YZ,63,-6.6,6.9,8.2,0.92,-0.96,-0.01,-1.07,25
0,0,VIX30D,42,GK,3,7.51,8.37,5.88,0.35,0.9,-0.19,-1.32,63
0,0,VIX30D,42,GK,5,0.93,8.48,8.16,0.31,0.11,-0.28,-1.43,57
0,0,VIX30D,42,GK,10,-2.67,8.37,8.31,0.36,-0.32,-0.26,-1.49,56
0,0,VIX30D,42,GK,21,-1.53,7.48,5.93,0.37,-0.21,-0.2,-1.24,52
0,0,VIX30D,42,GK,63,-3.32,6.92,4.79,0.92,-0.48,-0.1,-1.1,44
0,0,VIX30D,42,HV,3,5.57,9.9,9.5,0.29,0.56,-0.63,-1.74,76
0,0,VIX30D,42,HV,5,5.26,8.31,6.66,0.36,0.63,-0.31,-1.33,57
0,0,VIX30D,42,HV,10,1.41,6.41,5.11,0.37,0.22,-0.19,-1.11,49
0,0,VIX30D,42,HV,21,-3.98,6.33,5.94,0.4,-0.63,-0.09,-1.13,40
0,0,VIX30D,42,HV,63,-6.68,6.21,7.75,0.92,-1.08,-0.02,-0.98,28
0,0,VIX30D,42,YZ,3,-4.73,6.29,5.38,0.92,-0.75,-0.06,-0.98,28
0,0,VIX30D,42,YZ,5,-5.24,6.76,6.71,0.92,-0.77,-0.06,-1.06,32
0,0,VIX30D,42,YZ,10,-6.65,6.72,7.32,0.92,-0.99,-0.2,-1.19,34
0,0,VIX30D,42,YZ,21,-5.41,6.84,7.28,0.92,-0.79,-0.09,-1.11,35
0,0,VIX30D,42,YZ,63,-6.5,6.33,7.97,0.92,-1.03,-0.02,-0.98,28
0,0,VIX30D,63,GK,3,5.08,8.65,6.81,0.31,0.59,-0.16,-1.44,63
