DTE,OTM,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
0,0,GK,3,-3.01,20.25,14.3,0.3,-0.15,-1.9,-3.97,70
0,0,GK,5,-14.02,21.24,20.92,0.47,-0.66,-1.75,-4.42,65
0,0,GK,10,-17.15,22.03,24.41,0.47,-0.78,-1.91,-4.64,63
0,0,GK,21,-15.48,20.18,22.1,0.92,-0.77,-1.74,-4.13,60
0,0,GK,63,-17.78,19.44,22.93,0.92,-0.91,-1.72,-4.02,54
0,0,HV,3,-6.99,22.14,18.25,0.36,-0.32,-2.12,-4.58,83
0,0,HV,5,-2.37,19.6,13.03,0.46,-0.12,-1.2,-3.8,64
0,0,HV,10,-9.95,18.3,17.27,0.46,-0.54,-1.26,-3.6,56
0,0,HV,21,-19.16,18.44,23.01,0.92,-1.04,-1.06,-3.86,47
0,0,HV,63,-26.03,18.21,28.52,0.92,-1.43,-0.64,-3.84,34
0,0,YZ,3,-20.19,16.26,21.34,0.92,-1.24,-0.6,-3.17,35
0,0,YZ,5,-21.03,17.37,24.25,0.92,-1.21,-0.84,-3.53,38
0,0,YZ,10,-24.01,18.94,28.3,0.92,-1.27,-1.3,-4.04,41
0,0,YZ,21,-22.97,18.81,27.6,0.92,-1.22,-1.06,-3.94,39
0,0,YZ,63,-24.76,18.43,28.05,0.92,-1.34,-0.59,-3.85,33
0,2,GK,3,-7.82,8.11,10.5,0.44,-0.96,0.0,-0.15,173
0,2,GK,5,-6.93,7.77,9.47,0.44,-0.89,0.0,-0.14,171
0,2,GK,10,-5.87,7.78,8.91,0.19,-0.75,0.0,-0.14,177
0,2,GK,21,-3.31,5.81,6.97,0.44,-0.57,0.0,-0.12,174
0,2,GK,63,0.29,4.42,3.79,0.44,0.07,0.0,-0.06,136
0,2,HV,3,-5.65,7.51,8.88,0.16,-0.75,0.0,-0.1,155
0,2,HV,5,0.18,3.06,3.55,0.16,0.06,0.0,-0.03,133
0,2,HV,10,-2.18,3.21,4.19,0.16,-0.68,0.0,-0.03,104
0,2,HV,21,-3.97,4.85,6.12,0.44,-0.82,0.0,-0.04,76
0,2,HV,63,1.65,2.64,1.94,0.44,0.63,0.0,-0.01,26
0,2,YZ,3,-1.5,2.47,2.72,0.16,-0.61,0.0,-0.01,59
0,2,YZ,5,-1.97,2.45,3.14,0.16,-0.8,0.0,-0.02,62
0,2,YZ,10,-3.3,3.86,4.92,0.44,-0.86,0.0,-0.03,57
0,2,YZ,21,-0.9,3.38,3.4,0.44,-0.27,0.0,-0.02,47
0,2,YZ,63,3.32,2.13,1.09,0.13,1.56,0.0,-0.01,26
0,5,GK,3,7.98,5.9,0.0,0.0,1.35,0.0,0.0,244
0,5,GK,5,7.99,5.9,0.0,0.0,1.36,0.0,0.0,246
0,5,GK,10,8.08,5.89,0.0,0.0,1.37,0.0,0.0,250
0,5,GK,21,8.15,5.89,0.0,0.0,1.38,0.0,0.0,250
0,5,GK,63,8.24,5.89,0.0,0.0,1.4,0.01,0.01,250
0,5,HV,3,7.83,5.9,0.0,0.0,1.33,0.0,0.0,240
0,5,HV,5,7.75,5.9,0.0,0.0,1.31,0.0,0.0,241
0,5,HV,10,7.79,5.9,0.0,0.0,1.32,0.0,0.0,241
0,5,HV,21,7.85,5.9,0.0,0.0,1.33,0.0,0.0,237
0,5,HV,63,7.89,5.89,0.0,0.0,1.34,0.0,0.0,250
0,5,YZ,3,7.32,5.92,0.0,0.0,1.24,0.0,0.0,224
0,5,YZ,5,7.54,5.91,0.0,0.0,1.27,0.0,0.0,236
0,5,YZ,10,7.73,5.9,0.0,0.0,1.31,0.0,0.0,240
0,5,YZ,21,7.83,5.9,0.0,0.0,1.33,0.0,0.0,230
0,5,YZ,63,7.82,5.89,0.0,0.0,1.33,0.0,0.0,250
0,10,GK,3,2.59,0.57,0.0,0.0,4.53,0.01,0.01,250
0,10,GK,5,2.59,0.57,0.0,0.0,4.53,0.01,0.01,250
0,10,GK,10,2.59,0.57,0.0,0.0,4.53,0.01,0.01,250
