DTE,OTM,VIX TYPE,VIX MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
0,0,VIX30D,21,10.15,17.55,9.42,0.36,0.58,-2.05,-3.55,229
0,0,VIX30D,42,11.36,16.54,10.7,0.22,0.69,-1.62,-3.19,235
0,0,VIX30D,63,11.47,17.64,13.83,0.4,0.65,-1.66,-3.27,238
0,0,VIX30D,84,8.44,18.64,16.98,0.48,0.45,-1.66,-3.36,237
0,0,VIX30D,126,8.92,17.54,15.55,0.48,0.51,-1.56,-3.23,245
0,0,VIX30D,252,13.04,16.61,14.28,0.48,0.78,-1.84,-3.2,243
0,0,VIX9D,21,7.71,18.49,9.48,0.23,0.42,-2.38,-3.99,230
0,0,VIX9D,42,3.84,19.6,15.43,0.27,0.2,-1.97,-3.93,236
0,0,VIX9D,63,-0.05,20.67,17.51,0.48,-0.0,-1.8,-3.93,241
0,0,VIX9D,84,-2.44,21.18,20.69,0.48,-0.12,-1.88,-3.98,240
0,0,VIX9D,126,-0.45,19.61,18.9,0.48,-0.02,-1.69,-3.68,246
0,0,VIX9D,252,-1.11,20.26,20.83,0.48,-0.05,-1.96,-3.77,242
0,2,VIX30D,21,1.78,1.16,0.98,0.08,1.53,0.0,-0.06,229
0,2,VIX30D,42,-0.62,3.0,2.95,0.08,-0.21,0.0,-0.18,235
0,2,VIX30D,63,-2.17,4.23,4.17,0.15,-0.51,0.0,-0.31,238
0,2,VIX30D,84,-3.22,4.93,4.85,0.38,-0.65,0.0,-0.35,237
0,2,VIX30D,126,-2.5,4.36,4.29,0.38,-0.57,0.0,-0.38,245
0,2,VIX30D,252,-0.7,2.71,2.9,0.44,-0.26,0.0,-0.26,243
0,2,VIX9D,21,0.47,2.35,2.28,0.07,0.2,0.0,-0.12,230
0,2,VIX9D,42,-1.97,4.51,4.47,0.07,-0.44,0.0,-0.29,236
0,2,VIX9D,63,-3.49,5.33,5.28,0.19,-0.65,0.0,-0.45,242
0,2,VIX9D,84,-4.18,5.81,5.73,0.34,-0.72,0.0,-0.5,240
0,2,VIX9D,126,-3.2,5.12,5.06,0.32,-0.63,0.0,-0.43,246
