DTE,OTM,VIX TYPE,VIX MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
0,0,VIX30D,21,23.38,39.28,57.43,1.89,0.6,-4.07,-7.69,1004
0,0,VIX30D,42,12.7,38.42,61.35,1.96,0.33,-4.01,-7.41,1053
0,0,VIX30D,63,16.1,37.07,59.49,1.96,0.43,-3.88,-7.21,1072
0,0,VIX30D,84,15.17,35.63,58.27,1.96,0.43,-3.82,-7.0,1080
0,0,VIX30D,126,16.56,34.11,52.26,1.96,0.49,-4.0,-6.64,1084
0,0,VIX30D,252,13.83,31.0,46.75,1.96,0.45,-3.77,-6.01,1092
0,0,VIX9D,21,35.29,37.38,54.25,1.96,0.94,-3.42,-7.24,1032
0,0,VIX9D,42,19.76,36.99,57.57,1.96,0.53,-3.58,-7.02,1060
0,0,VIX9D,63,20.66,36.03,56.51,1.96,0.57,-3.58,-6.86,1076
0,0,VIX9D,84,19.78,34.69,53.46,1.96,0.57,-3.51,-6.72,1083
0,0,VIX9D,126,19.25,32.81,46.67,1.96,0.59,-3.59,-6.3,1084
0,0,VIX9D,252,14.2,29.58,41.84,1.96,0.48,-3.48,-5.7,1089
0,2,VIX30D,21,12.2,15.27,26.84,1.67,0.8,0.0,-0.74,1004
0,2,VIX30D,42,4.35,15.87,30.84,1.86,0.27,0.0,-1.18,1053
0,2,VIX30D,63,3.47,15.69,33.07,1.86,0.22,0.0,-1.42,1072
0,2,VIX30D,84,3.73,14.26,30.35,1.86,0.26,0.0,-1.5,1080
0,2,VIX30D,126,5.0,12.72,26.53,1.86,0.39,0.0,-1.32,1076
0,2,VIX30D,252,5.78,9.83,20.52,1.86,0.59,0.0,-1.35,1090
0,2,VIX9D,21,15.03,13.99,20.32,1.67,1.07,0.0,-0.81,1032
0,2,VIX9D,42,5.37,15.25,25.99,1.67,0.35,0.0,-1.19,1060
0,2,VIX9D,63,3.32,15.41,29.44,1.67,0.22,0.0,-1.44,1076
0,2,VIX9D,84,3.13,14.19,28.13,1.86,0.22,0.0,-1.52,1083
0,2,VIX9D,126,4.22,12.55,23.98,1.86,0.34,0.0,-1.32,1080
0,2,VIX9D,252,4.5,9.61,18.59,1.86,0.47,0.0,-1.3,1091
0,5,VIX30D,21,7.74,2.05,0.42,0.1,3.77***,0.0,0.0,1004
0,5,VIX30D,42,6.21,1.14,0.47,0.1,5.44***,0.0,-0.01,1053
0,5,VIX30D,63,5.77,0.86,0.48,0.07,6.69***,0.0,-0.01,1072
0,5,VIX30D,84,5.47,0.71,0.4,0.07,7.67***,0.0,-0.01,1080
0,5,VIX30D,126,5.14,0.58,0.32,0.1,8.79***,0.0,-0.01,1088
0,5,VIX30D,252,4.54,0.48,0.21,0.13,9.48***,0.0,0.0,1094
0,5,VIX9D,21,7.82,2.19,0.35,0.07,3.57***,0.0,0.0,1032
0,5,VIX9D,42,6.29,1.23,0.43,0.1,5.11***,0.0,-0.01,1060
0,5,VIX9D,63,5.71,0.91,0.46,0.1,6.3***,0.0,-0.01,1076
0,5,VIX9D,84,5.36,0.73,0.39,0.08,7.3***,0.0,-0.01,1083
0,5,VIX9D,126,4.91,0.57,0.31,0.1,8.64***,0.0,-0.01,1086
0,5,VIX9D,252,4.26,0.43,0.2,0.16,9.95***,0.0,0.0,1092
0,10,VIX30D,21,2.64,0.39,0.01,0.02,6.74***,0.0,0.0,1004
0,10,VIX30D,42,2.42,0.22,0.01,0.01,11.21***,0.0,0.0,1053
0,10,VIX30D,63,2.38,0.17,0.01,0.01,13.86***,0.0,0.0,1072
0,10,VIX30D,84,2.33,0.15,0.01,0.01,15.67***,0.0,0.0,1080
0,10,VIX30D,126,2.26,0.13,0.01,0.01,17.79***,0.0,0.0,1080
0,10,VIX30D,252,2.07,0.11,0.01,0.01,18.15***,0.0,0.0,1092
0,10,VIX9D,21,2.61,0.41,0.0,0.02,6.31***,0.0,0.0,1032
0,10,VIX9D,42,2.4,0.22,0.01,0.01,10.68***,0.0,0.0,1060
0,10,VIX9D,63,2.34,0.17,0.01,0.01,13.55***,0.0,0.0,1076
0,10,VIX9D,84,2.28,0.15,0.01,0.01,15.51***,0.0,0.0,1083
0,10,VIX9D,126,2.19,0.12,0.01,0.01,18.01***,0.0,0.0,1083
0,10,VIX9D,252,2.0,0.1,0.01,0.01,19.13***,0.0,0.0,1092
1,0,VIX30D,21,34.81,45.06,61.55,1.53,0.77,-4.47,-8.91,900
1,0,VIX30D,42,26.39,43.02,63.2,1.6,0.61,-4.0,-8.25,943
1,0,VIX30D,63,32.98,40.82,60.76,1.6,0.81,-3.87,-7.85,959
1,0,VIX30D,84,29.97,39.43,61.08,1.6,0.76,-3.81,-7.6,967
1,0,VIX30D,126,32.72,37.75,54.59,1.6,0.87,-4.11,-7.21,974
1,0,VIX30D,252,30.41,34.2,49.14,1.58,0.89,-3.95,-6.5,980
1,0,VIX9D,21,43.85,42.33,59.22,1.52,1.04,-3.66,-8.33,925
1,0,VIX9D,42,31.81,40.75,60.22,1.6,0.78,-3.66,-7.8,950
1,0,VIX9D,63,35.14,39.18,58.78,1.6,0.9,-3.64,-7.46,963
1,0,VIX9D,84,33.55,37.76,56.55,1.6,0.89,-3.62,-7.24,970
1,0,VIX9D,126,33.49,35.62,49.5,1.6,0.94,-3.7,-6.8,973
1,0,VIX9D,252,28.01,32.22,45.47,1.6,0.87,-3.64,-6.12,976
1,2,VIX30D,21,9.07,22.08,37.85,1.32,0.41,-0.25,-3.55,900
1,2,VIX30D,42,4.46,20.92,37.12,1.32,0.21,-0.26,-3.44,943
1,2,VIX30D,63,5.85,19.67,35.05,1.5,0.3,-0.34,-3.25,959
1,2,VIX30D,84,5.01,18.49,32.66,1.5,0.27,-0.37,-3.19,967
1,2,VIX30D,126,7.54,16.77,27.43,1.5,0.45,-0.36,-2.99,963
1,2,VIX30D,252,9.52,13.31,21.97,1.06,0.72,-0.34,-2.47,976
1,2,VIX9D,21,12.98,20.19,33.56,1.32,0.64,-0.27,-3.19,925
1,2,VIX9D,42,5.86,19.44,34.45,1.32,0.3,-0.31,-3.21,950
1,2,VIX9D,63,5.3,18.8,33.54,1.32,0.28,-0.34,-3.09,963
1,2,VIX9D,84,4.79,17.58,30.88,1.32,0.27,-0.39,-3.01,970
1,2,VIX9D,126,6.09,15.75,25.35,1.5,0.39,-0.44,-2.78,967
1,2,VIX9D,252,7.38,12.29,19.88,1.16,0.6,-0.32,-2.28,977
1,5,VIX30D,21,11.04,2.59,0.96,0.09,4.26***,0.0,-0.03,900
1,5,VIX30D,42,9.1,1.6,0.84,0.12,5.69***,0.0,-0.04,943
1,5,VIX30D,63,8.51,1.34,1.12,0.12,6.33***,0.0,-0.06,959
1,5,VIX30D,84,8.17,1.24,1.25,0.12,6.6***,0.0,-0.06,967
1,5,VIX30D,126,8.08,1.2,1.13,0.08,6.76***,0.0,-0.05,974
1,5,VIX30D,252,7.24,0.97,0.86,0.06,7.46***,0.0,-0.04,980
1,5,VIX9D,21,11.44,2.73,0.91,0.05,4.19***,0.0,-0.03,925
1,5,VIX9D,42,9.19,1.6,0.69,0.07,5.75***,0.0,-0.04,950
1,5,VIX9D,63,8.26,1.26,0.79,0.11,6.55***,0.0,-0.05,963
1,5,VIX9D,84,7.8,1.12,0.99,0.08,6.94***,0.0,-0.05,970
1,5,VIX9D,126,7.42,0.95,0.9,0.07,7.8***,0.0,-0.04,973
1,5,VIX9D,252,6.49,0.69,0.65,0.05,9.37***,0.0,-0.03,978
1,10,VIX30D,21,2.9,0.47,0.01,0.02,6.15***,0.0,0.0,900
1,10,VIX30D,42,2.6,0.26,0.01,0.01,9.98***,0.0,0.0,943
1,10,VIX30D,63,2.53,0.21,0.01,0.01,12.24***,0.0,0.0,959
1,10,VIX30D,84,2.46,0.18,0.01,0.01,13.65***,0.0,0.0,967
1,10,VIX30D,126,2.4,0.17,0.01,0.01,13.86***,0.0,0.0,967
1,10,VIX30D,252,2.17,0.16,0.01,0.01,13.87***,0.0,0.0,978
